t,x1,y1,z1,x2,y2,z2,x3,y3,z3,vx1,vy1,vz1,vx2,vy2,vz2,vx3,vy3,vz3
0.0325,0.0,0.0,0.0,0.999339702921355,0.005198855138326086,0.0005198855138326084,-0.999339702921355,-0.005198855138326086,-0.0005198855138326084,0.0,0.0,0.0,-0.040642336636101555,0.15989428410831888,0.015989428410831886,0.040642336636101555,-0.15989428410831888,-0.015989428410831886
0.035,0.0,0.0,0.0,0.999234185564672,0.005598569977486567,0.0005598569977486562,-0.999234185564672,-0.005598569977486567,-0.0005598569977486562,0.0,0.0,0.0,-0.04377165548571915,0.15987737772766522,0.01598773777276652,0.04377165548571915,-0.15987737772766522,-0.01598773777276652
0.0375,0.0,0.0,0.0,0.9991208440905972,0.005998240979043208,0.0005998240979043203,-0.9991208440905972,-0.005998240979043208,-0.0005998240979043203,0.0,0.0,0.0,-0.046901638528905665,0.15985921384240834,0.01598592138424083,0.046901638528905665,-0.15985921384240834,-0.01598592138424083
0.04,0.0,0.0,0.0,0.9989996767789424,0.006397864997855803,0.0006397864997855796,-0.9989996767789424,-0.006397864997855803,-0.0006397864997855796,0.0,0.0,0.0,-0.05003233349488105,0.15983979133973056,0.015983979133973054,0.05003233349488105,-0.15983979133973056,-0.015983979133973054
0.0425,0.0,0.0,0.0,0.9988706817901227,0.006797438885904736,0.0006797438885904729,-0.9988706817901227,-0.006797438885904736,-0.0006797438885904729,0.0,0.0,0.0,-0.053163788172408556,0.15981910902908705,0.015981910902908705,0.053163788172408556,-0.15981910902908705,-0.015981910902908705
0.045,0.0,0.0,0.0,0.9987338571650068,0.00719695949209679,0.0007196959492096782,-0.9987338571650068,-0.00719695949209679,-0.0007196959492096782,0.0,0.0,0.0,-0.05629605041383022,0.15979716564200713,0.015979716564200712,0.05629605041383022,-0.15979716564200713,-0.015979716564200712
0.0475,0.0,0.0,0.0,0.9985892008247571,0.007596423662070388,0.0007596423662070377,-0.9985892008247571,-0.007596423662070388,-0.0007596423662070377,0.0,0.0,0.0,-0.05942916813911491,0.15977395983188344,0.01597739598318834,0.05942916813911491,-0.15977395983188344,-0.01597739598318834
0.05,0.0,0.0,0.0,0.9984367105706583,0.007995828238000213,0.0007995828238000201,-0.9984367105706583,-0.007995828238000213,-0.0007995828238000201,0.0,0.0,0.0,-0.06256318933991968,0.15974949017374873,0.01597494901737487,0.06256318933991968,-0.15974949017374873,-0.01597494901737487
0.0525,0.0,0.0,0.0,0.9982763840839352,0.008395170058401213,0.0008395170058401201,-0.9982763840839352,-0.008395170058401213,-0.0008395170058401201,0.0,0.0,0.0,-0.06569816208366555,0.15972375516403986,0.015972375516403983,0.06569816208366555,-0.15972375516403986,-0.015972375516403983
0.055,0.0,0.0,0.0,0.9981082189255591,0.008794445957931949,0.0008794445957931936,-0.9981082189255591,-0.008794445957931949,-0.0008794445957931936,0.0,0.0,0.0,-0.06883413451762851,0.15969675322034924,0.015969675322034922,0.06883413451762851,-0.15969675322034924,-0.015969675322034922
