t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0.09,-4.722405807132265e-18,-3.965838750164523e-20,3.7374003187615734e-22,0.9949327408511567,0.05390862800762512,0.00898477133460421,-0.9949327408511567,-0.05390862800762512,-0.00898477133460421
0.095,-5.482140371683525e-18,-2.9544630287908655e-20,9.543922273940767e-22,0.9943534655052684,0.05689250434041572,0.009482084056735974,-0.9943534655052684,-0.05689250434041572,-0.009482084056735974
0.1,-6.113455662424776e-18,-1.673474378920173e-20,1.5805893861963017e-21,0.9937427429874478,0.05987458138519558,0.009979096897532617,-0.9937427429874478,-0.05987458138519558,-0.009979096897532617
0.105,-6.564323148890895e-18,-3.3830071554929773e-21,2.1707513368663747e-21,0.9931005518778917,0.06285476237608104,0.010475793729346856,-0.9931005518778917,-0.06285476237608104,-0.010475793729346856
0.11,-6.797450861203992e-18,7.827579340786518e-21,2.6323648660139776e-21,0.992426869631176,0.06583295022524811,0.010972158370874698,-0.992426869631176,-0.06583295022524811,-0.010972158370874698
0.115,-6.799797519607327e-18,1.4117745065021115e-20,2.8782221582349488e-21,0.9917216725721448,0.06880904750583265,0.01146817458430545,-0.9917216725721448,-0.06880904750583265,-0.01146817458430545
0.12,-6.593521186446345e-18,1.3267318849903748e-20,2.8498446471283402e-21,0.9909849358915932,0.07178295643468466,0.01196382607244745,-0.9909849358915932,-0.07178295643468466,-0.01196382607244745
0.125,-6.248391886557792e-18,4.524400127105295e-21,2.5490284493895407e-21,0.9902166336417425,0.07475457885497035,0.012459096475828399,-0.9902166336417425,-0.07475457885497035,-0.012459096475828399
0.13,-5.89569764202786e-18,-1.0200786405918277e-20,2.0784475539985366e-21,0.9894167387315104,0.07772381621861486,0.012953969369769149,-0.9894167387315104,-0.07772381621861486,-0.012953969369769149
0.135,-5.7436733672803245e-18,-2.482647035101906e-20,1.6922509385223813e-21,0.9885852229215728,0.08069056956857909,0.013448428261429852,-0.9885852229215728,-0.08069056956857909,-0.013448428261429852
0.14,-6.0034356421258595e-18,-3.318702980674215e-20,1.523165586021993e-21,0.9877220568188645,0.08365473952003061,0.013942456586671773,-0.9877220568188645,-0.08365473952003061,-0.013942456586671773
0.145,-6.295950008127886e-18,-5.696545465085645e-20,1.9874812791124742e-22,0.9868272098698,0.08661622623912088,0.01443603770652015,-0.9868272098698,-0.08661622623912088,-0.01443603770652015
0.15,-6.578216362675486e-18,-8.338775638370359e-20,-1.427572624019254e-21,0.9859006503586447,0.0895749294358538,0.014929154905975637,-0.9859006503586447,-0.0895749294358538,-0.014929154905975637
0.155,-6.888533350916884e-18,-1.0090330288896497e-19,-2.5764768187220774e-21,0.9849423453990239,0.09253074833792498,0.015421791389654166,-0.9849423453990239,-0.09253074833792498,-0.015421791389654166
0.16,-7.23983921523936e-18,-1.057343341076982e-19,-2.9483761350731074e-21,0.9839522609273753,0.09548358167070943,0.015913930278451574,-0.9839522609273753,-0.09548358167070943,-0.015913930278451574
0.165,-7.627077570935608e-18,-9.958688564794206e-20,-2.5996992937216273e-21,0.9829303616967453,0.09843332763861372,0.01640555460643562,-0.9829303616967453,-0.09843332763861372,-0.01640555460643562
0.17,-8.03346402870823e-18,-8.770747099035818e-20,-1.8354256895012486e-21,0.9818766112703337,0.10137988390614264,0.016896647317690437,-0.9818766112703337,-0.10137988390614264,-0.016896647317690437
0.17500000000000002,-8.435724243297985e-18,-7.726308425628229e-20,-1.1169500220653891e-21,0.9807909720147827,0.10432314757867092,0.017387191263111817,-0.9807909720147827,-0.10432314757867092,-0.017387191263111817
0.18,-8.808373967521337e-18,-7.602208550455737e-20,-9.84360802411588e-22,0.9796734050932085,0.10726301518291069,0.017877169197151776,-0.9796734050932085,-0.10726301518291069,-0.017877169197151776
0.185,-9.127111691002918e-18,-9.131353052351922e-20,-1.9922156129583167e-21,0.9785238704579725,0.11019938264706516,0.01836656377451085,-0.9785238704579725,-0.11019938264706516,-0.01836656377451085
0.19,-9.37139444288847e-18,-1.2924250708451044e-19,-4.657895998838668e-21,0.9773423268431901,0.11313214528065914,0.01885535754677651,-0.9773423268431901,-0.11313214528065914,-0.01885535754677651
0.195,-9.526267337823862e-18,-1.9413903962328868e-19,-9.421624868074467e-21,0.9761287317569735,0.11606119775403707,0.019343532959006163,-0.9761287317569735,-0.11606119775403707,-0.019343532959006163
0.2,-9.583517444485773e-18,-2.8821812431571015e-19,-1.6617229278295157e-20,0.9748830414734075,0.11898643407751913,0.01983107234625317,-0.9748830414734075,-0.11898643407751913,-0.01983107234625317
0.20500000000000002,-9.542222555949587e-18,-4.1142845651405125e-19,-2.6452731487665298e-20,0.9736052110242548,0.12190774758020587,0.020317957930034287,-0.9736052110242548,-0.12190774758020587,-0.020317957930034287
0.21,-9.408765441180139e-18,-5.614674125103467e-19,-3.899985114768451e-20,0.9722951941903871,0.12482503088842217,0.020804171814737003,-0.9722951941903871,-0.12482503088842217,-0.020804171814737003
0.215,-9.19638415693086e-18,-7.339398475931162e-19,-5.419150151552448e-20,0.9709529434929428,0.12773817590379113,0.021289695983965157,-0.9709529434929428,-0.12773817590379113,-0.021289695983965157
0.22,-8.924328999336885e-18,-9.22638272363849e-19,-7.182636256356574e-20,0.9695784101842044,0.13064707378092807,0.021774512296821313,-0.9695784101842044,-0.13064707378092807,-0.021774512296821313
0.225,-8.616696674487804e-18,-1.1199219692796162e-18,-9.157961386379978e-20,0.9681715442381976,0.1335516149047459,0.022258602484124278,-0.9681715442381976,-0.1335516149047459,-0.022258602484124278
0.23,-8.301012267265493e-18,-1.3171726113881938e-18,-1.1301891012475935e-19,0.966732294341005,0.13645168886736186,0.02274194814456027,-0.966732294341005,-0.13645168886736186,-0.02274194814456027
0.23500000000000001,-8.006629587732748e-18,-1.505303945222056e-18,-1.3562468225864142e-19,0.9652606078807957,0.13934718444459665,0.023224530740766067,-0.9652606078807957,-0.13934718444459665,-0.023224530740766067
0.24,-7.763020474358213e-18,-1.67530309981762e-18,-1.5881384685628638e-19,0.9637564309375664,0.14223798957205613,0.023706331595342644,-0.9637564309375664,-0.14223798957205613,-0.023706331595342644
0.245,-7.598023633363242e-18,-1.818781083826106e-18,-1.8196600694767868e-19,0.9622197082725904,0.14512399132078668,0.024187331886797732,-0.9622197082725904,-0.14512399132078668,-0.024187331886797732
0.25,-7.536123593476234e-18,-1.928510032682401e-18,-2.0445122692563037e-19,0.9606503833175755,0.14800507587249423,0.024667512645415654,-0.9606503833175755,-0.14800507587249423,-0.024667512645415654
0.255,-7.596830355380072e-18,-1.998924767798264e-18,-2.2565846451031457e-19,0.9590483981635238,0.15088112849431817,0.025146854749052983,-0.9590483981635238,-0.15088112849431817,-0.025146854749052983
0.26,-7.793230315138218e-18,-2.026566229746302e-18,-2.4502374263231095e-19,0.957413693549295,0.15375203351315037,0.025625338918858348,-0.957413693549295,-0.15375203351315037,-0.025625338918858348
0.265,-8.13077904088503e-18,-2.0104443474010204e-18,-2.620571441118273e-19,0.9557462088498665,0.1566176742894897,0.0261029457149149,-0.9557462088498665,-0.1566176742894897,-0.0261029457149149
0.27,-8.606406482065967e-18,-1.952297905003384e-18,-2.763677120117623e-19,0.9540458820642923,0.1594779331908232,0.026579655531803817,-0.9540458820642923,-0.1594779331908232,-0.026579655531803817
0.275,-9.208005190513149e-18,-1.856728969115203e-18,-2.8768533854227185e-19,0.952312649803354,0.16233269156452412,0.02705544859408731,-0.952312649803354,-0.16233269156452412,-0.02705544859408731
0.28,-9.914372132641966e-18,-1.7311894374297763e-18,-2.9587872539450467e-19,0.9505464472769043,0.16518182971025755,0.027530304951709546,-0.9505464472769043,-0.16518182971025755,-0.027530304951709546
0.28500000000000003,-1.0695674672054232e-17,-1.5857972714051015e-18,-3.0096849838116964e-19,0.9487472082808983,0.16802522685188392,0.028004204475313946,-0.9487472082808983,-0.16802522685188392,-0.028004204475313946
0.29,-1.1514511301833547e-17,-1.4329599746860819e-18,-3.0313455926160005e-19,0.9469148651841123,0.17086276110885168,0.028477126851475243,-0.9469148651841123,-0.17086276110885168,-0.028477126851475243
0.295,-1.23276377058184e-17,-1.28678287928205e-18,-3.0271675762897775e-19,0.945049348914545,0.17369430946706893,0.02894905157784479,-0.945049348914545,-0.17369430946706893,-0.02894905157784479
0.3,-1.3088428728138556e-17,-1.1622398014660324e-18,-3.0020796573738215e-19,0.9431505889455006,0.17651974774924512,0.02941995795820749,-0.9431505889455006,-0.17651974774924512,-0.02941995795820749
0.305,-1.375014683030045e-17,-1.0740836293620807e-18,-2.9623863914632713e-19,0.9412185132813509,0.17933895058469318,0.029889825097448836,-0.9412185132813509,-0.17933895058469318,-0.029889825097448836
0.31,-1.427008761510703e-17,-1.0354744041870694e-18,-2.9155194606045086e-19,0.9392530484429717,0.182151791378583,0.030358631896430475,-0.9392530484429717,-0.182151791378583,-0.030358631896430475
0.315,-1.4614672996697704e-17,-1.056302457113325e-18,-2.869685482420213e-19,0.9372541194528555,0.18495814228063617,0.03082635704677268,-0.9372541194528555,-0.18495814228063617,-0.03082635704677268
0.32,-1.4765562595993958e-17,-1.1411841637184573e-18,-2.833401163739225e-19,0.9352216498198923,0.18775787415325357,0.031292979025542254,-0.9352216498198923,-0.18775787415325357,-0.031292979025542254
0.325,-1.4726853940836245e-17,-1.2871078779887656e-18,-2.814906627507851e-19,0.9331555615238207,0.19055085653906523,0.031758476089844195,-0.9331555615238207,-0.19055085653906523,-0.031758476089844195
0.33,-1.4533442050097676e-17,-1.4807076078425968e-18,-2.821447741759248e-19,0.9310557749993441,0.1933369576278941,0.03222282627131568,-0.9310557749993441,-0.1933369576278941,-0.03222282627131568
0.335,-1.4260608981060192e-17,-1.6951419941400156e-18,-2.8584182794175385e-19,0.9289222091199103,0.19611604422312395,0.03268600737052066,-0.9289222091199103,-0.19611604422312395,-0.03268600737052066
0.34,-1.4034913919338703e-17,-1.8865561551451744e-18,-2.928352737713279e-19,0.926754781181152,0.19888798170746141,0.03314799695124357,-0.926754781181152,-0.19888798170746141,-0.03314799695124357
0.34500000000000003,-1.4037252492426415e-17,-1.9940044322141285e-18,-3.0270753562649126e-19,0.9245534068833292,0.20165263400597858,0.03360877233432977,-0.9245534068833292,-0.20165263400597858,-0.03360877233432977
0.35000000000000003,-1.4201454765598328e-17,-2.0543280573147878e-18,-3.1041526462239355e-19,0.9223180002961564,0.20440986349594473,0.034068310582657454,-0.9223180002961564,-0.20440986349594473,-0.034068310582657454
0.355,-1.4380573612466832e-17,-2.1132182445462845e-18,-3.1795543067710645e-19,0.9200484738582045,0.2071595310291855,0.03452658850486425,-0.9200484738582045,-0.2071595310291855,-0.03452658850486425
0.36,-1.4531735476690253e-17,-2.178514319071924e-18,-3.2769311520124803e-19,0.9177447383611271,0.2099014958961098,0.034983582649351634,-0.9177447383611271,-0.2099014958961098,-0.034983582649351634
