dt,drift_maxabs,drift_rms,drift_final,lyapunov
0.0005,1.1645788505248447e-07,3.4267985770790305e-08,-6.975915896993808e-08,0.1544945194740747
0.001,1.1607808952053946e-07,3.426823692501221e-08,-6.975915896993808e-08,0.1544945194740747
0.0025,1.0109140047740198e-07,3.426633322141511e-08,-6.975915896993808e-08,0.1544945194740747
0.005,1.0109140047740198e-07,3.427146506349881e-08,-6.975915896993808e-08,0.1544945194740747
0.01,1.0109140047740198e-07,3.427789818084978e-08,-6.975915896993808e-08,0.1544945194740747
