t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0
0.005,-8.75006927527237e-11,1.666656854054776e-08,8.33331052068279e-09,0.9999843750170572,0.004999976041671353,0.001999990625005365,-0.9999843749295565,-0.000999992708239894,1.0416841148370143e-09
0.01,-1.4000443366845534e-09,1.3333019319314403e-07,6.66659366489099e-08,0.999937500272909,0.009999808333483297,0.003999925000171654,-0.9999374988728646,-0.001999941663676482,8.333891699182723e-09
0.015,-7.088053200794969e-09,4.499761473246973e-07,2.2499445533260863e-07,0.9998593763815476,0.014999353126137186,0.00599974687630304,-0.9998593692934944,-0.0029998031022845017,2.8129241629185696e-08
0.02,-2.2402994227150464e-08,1.0665661473324052e-06,5.333099677737709e-07,0.9997500043661495,0.019998466671456376,0.007999400005490136,-0.9997499819631553,-0.0039995332376036976,6.668454209078934e-08
0.025,-5.4698500428104466e-08,2.0830265787187327e-06,1.0415953625644863e-06,0.9996093856588811,0.024997005222947153,0.009998828141753107,-0.9996093309603807,-0.004999088249525866,1.3026288432740032e-07
0.03,-1.1343246616989222e-07,3.599236646013951e-06,1.799822567379705e-06,0.9994375221005649,0.029994825036343098,0.011997975041679933,-0.9994374086680988,-0.005998424272989112,2.2513575268042775e-07
0.035,-2.1016919809999874e-07,5.715016549699348e-06,2.8579498057604276e-06,0.9992344159402903,0.034991782370150284,0.013996784465064332,-0.9992342057710922,-0.006997497386699993,3.5758512989569645e-07
0.04,-3.585820846189049e-07,8.530115635057495e-06,4.265918850327309e-06,0.9990000698349387,0.039987733486183605,0.015995200175540757,-0.9989997112528541,-0.007996263601818687,5.339056088936843e-07
0.045,-5.74456809983448e-07,1.2144200504360078e-05,6.073652271231012e-06,0.9987344868486209,0.04498253465009194,0.01799316594121583,-0.998733912391811,-0.008994678850596337,7.60406512905667e-07
0.05,-8.756951114227872e-07,1.6656843086974682e-05,8.331050679149473e-06,0.9984376704520252,0.04997604213187047,0.019990625535295584,-0.9984367947569138,-0.009992698974957486,1.0434140252306744e-06
0.055,-1.2823190776480129e-06,2.2167508661972036e-05,1.1087989962142297e-05,0.9981096245216798,0.05496811220635838,0.02198752273670794,-0.9981083422026023,-0.010990279715020396,1.3892733298681763e-06
0.06,-1.8164759871363364e-06,2.8775543827815152e-05,1.4394318515672462e-05,0.9977503533391266,0.05995860115372039,0.02398380133071999,-0.9977485368631396,-0.011987376697548255,1.80435076428139e-06
0.065,-2.5024436845709155e-06,3.658016441371175e-05,1.829985446510546e-05,0.9973598615900089,0.06494736525991027,0.025979405109549287,-0.9973573591463244,-0.012983945424324028,2.2950359855461355e-06
0.07,-3.3666364938172837e-06,4.568044332721146e-05,2.2854382879996183e-05,0.9969381543630722,0.06993426081711468,0.027974277872968797,-0.9969347877265785,-0.01397994126044192,2.867744151140134e-06
0.075,-4.4376116658173935e-06,5.617529833262916e-05,2.8107652979473573e-05,0.9964852371490792,0.07491914412417564,0.029968363428904837,-0.9964807995374134,-0.014975319422508272,3.5289181156276522e-06
0.08,-5.74607635978227e-06,6.816347975487618e-05,3.410937532803338e-05,0.9960011158396379,0.07990187148698996,0.03196160559402741,-0.9959953697632782,-0.01597003496674482,4.285030644494425e-06
0.085,-7.324895156064264e-06,8.174355810328033e-05,4.090921902104906e-05,0.9954857967259455,0.0848822992188839,0.033953948194332506,-0.9954784718307895,-0.016964042776987147,5.14258664638773e-06
0.09,-9.209098099089925e-06,9.701391160997646e-05,4.855680885931116e-05,0.9949392864974458,0.0898602836409613,0.03594533506571562,-0.9949300773993468,-0.01795729755257123,6.108125425016548e-06
0.095,-1.1435889268734492e-05,0.0001140727136774495,5.7101722511905306e-05,0.9943615922404021,0.09483568108242363,0.037935710054536095,-0.9943501563511336,-0.018949753796100997,7.188222951966716e-06
0.1,-1.4044655878518935e-05,0.00013301792022980997,6.659348766673874e-05,0.9937527214363858,0.09980834788085997,0.039925017018171555,-0.9937386767805074,-0.01994136580108968,8.389494161685944e-06
