t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3
0.05,-0.9984367418397936,0.01199374258251889,3.3365580874674057e-07,0.06256068514253509,0.23962425782371194,2.0032263387305043e-05,0.9984367418397936,-0.01199374258251889,3.3365580874674057e-07,-0.06256068514253509,-0.23962425782371194,2.0032263387305043e-05,0.0,0.0,0.0007993326883825051,0.0,0.0,0.01595993547322539
0.055,-0.998108264727833,0.01319166930028695,4.441861569577434e-07,0.06883079913174465,0.23954516289540012,2.424725470756788e-05,0.998108264727833,-0.01319166930028695,4.441861569577434e-07,-0.06883079913174465,-0.23954516289540012,2.424725470756788e-05,0.0,0.0,0.0008791116276860828,0.0,0.0,0.015951505490584866
0.06,-0.997748427137992,0.01438918153067698,5.768028760646997e-07,0.07510493795788513,0.23945845958503936,2.8866954469468015e-05,0.997748427137992,-0.01438918153067698,5.768028760646997e-07,-0.07510493795788513,-0.23945845958503936,2.8866954469468015e-05,0.0,0.0,0.0009588463942478684,0.0,0.0,0.015942266091061065
0.065,-0.9973572080186643,0.015586241180747947,7.335317229278336e-07,0.08138347291820658,0.23936412716145294,3.38922622724535e-05,0.9973572080186643,-0.015586241180747947,7.335317229278336e-07,-0.08138347291820658,-0.23936412716145294,3.38922622724535e-05,0.0,0.0,0.0010385329365541417,0.0,0.0,0.01593221547545509
0.07,-0.9969345844583256,0.01678281004926779,9.164031526882014e-07,0.08766677673123884,0.2392621430332812,3.9324158062136206e-05,0.9969345844583256,-0.01678281004926779,9.164031526882014e-07,-0.08766677673123884,-0.2392621430332812,3.9324158062136206e-05,0.0,0.0,0.0011181671936946209,0.0,0.0,0.015921351683875727
0.075,-0.9964805316780592,0.017978849817370707,1.1274527220444498e-06,0.09395522366020798,0.23915248273445017,4.516370266386445e-05,0.9964805316780592,-0.017978849817370707,1.1274527220444498e-06,-0.09395522366020798,-0.23915248273445017,4.516370266386445e-05,0.0,0.0,0.001197745094555908,0.0,0.0,0.01590967259467227
0.08,-0.9959950230234562,0.01917432203913732,1.3687214953613708e-06,0.10024918963767716,0.23903511990838325,5.141203836204727e-05,0.9959950230234562,-0.01917432203913732,1.3687214953613708e-06,-0.10024918963767716,-0.23903511990838325,5.141203836204727e-05,0.0,0.0,0.0012772625570092741,0.0,0.0,0.015897175923275907
0.085,-0.9954780299558896,0.020369188132092278,1.6422564538077446e-06,0.10654905239151206,0.23891002629093053,5.8070389526229046e-05,0.9954780299558896,-0.020369188132092278,1.6422564538077446e-06,-0.10654905239151206,-0.23891002629093053,5.8070389526229046e-05,0.0,0.0,0.0013567154870923813,0.0,0.0,0.01588385922094754
0.09,-0.9949295220431644,0.02156340936761395,1.9501109077210436e-06,0.11285519157227258,0.23877717169199084,6.514006328491473e-05,0.9949295220431644,-0.02156340936761395,1.9501109077210436e-06,-0.11285519157227258,-0.23877717169199084,6.514006328491473e-05,0.0,0.0,0.0014360997781845547,0.0,0.0,0.01586971987343017
0.095,-0.9943494669495457,0.022756946861250547,2.294344912396485e-06,0.11916798888213019,0.2386365239758015,7.26224502481434e-05,0.9943494669495457,-0.022756946861250547,2.294344912396485e-06,-0.11916798888213019,-0.2386365239758015,7.26224502481434e-05,0.0,0.0,0.0015154113101752038,0.0,0.0,0.015854755099503712
