t,x1,y1,z1,x2,y2,z2,x3,y3,z3,vx1,vy1,vz1,vx2,vy2,vz2,vx3,vy3,vz3
0.0,0.2,0.0,0.0,1.2,0.0,0.0,-1.1,0.0,0.0,0.0,0.1,0.0,0.0,0.22,0.03,0.0,-0.28,-0.01
0.0025,0.20000127589239103,0.00024999986207632503,6.627200170138515e-11,1.1999962842571565,0.0005499995804808638,7.499991331327427e-05,-1.099997560149548,-0.000699999442557189,-2.499997958527602e-05,0.001020717768893885,0.09999983449250731,7.952663131465443e-08,-0.002972598761035802,0.2199994965758198,0.02999989597567593,0.001951880992141916,-0.27999933106832714,-0.009999975502307246
0.005,0.2000051036274061,0.000499998896638121,5.301828919199753e-10,1.1999851369613297,0.0010999966438104093,0.00014999930649859706,-1.0999902405887358,-0.0013999955404485308,-4.9999836681489235e-05,0.0020414818118954375,0.09999933799755155,3.1811340364262197e-07,-0.005945251360396564,0.21999798626677836,0.029999583895106534,0.0039037695485011283,-0.27999732426432994,-0.00999990200851018
0.0075,0.2000114833785785,0.0007499962763084776,1.7894059523873112e-09,1.1999665579106196,0.001649988672654808,0.00022499765939002967,-1.0999780412891984,-0.0020999849489632873,-7.499944879598282e-05,0.0030623384088718296,0.09999851059770724,7.157809536895698e-07,-0.008918011642253016,0.2199954689633656,0.029999063735498644,0.0058556732333811985,-0.27999397956107286,-0.009999779516452336
0.01,0.20002041543515442,0.000999991173985758,4.2416832590362e-09,1.1999405467685036,0.0021999731493151727,0.00029999445174565124,-1.0999609622036581,-0.002799964323300934,-9.999869342891161e-05,0.004083333851210805,0.09999735243062326,1.272563681145117e-06,-0.011890933462469012,0.21999194448303955,0.02999833545885828,0.007807599611258228,-0.2799892969136628,-0.009999608022539425
0.0125,0.20003190020212894,0.001249982762981328,8.284860098515905e-09,1.199907103063798,0.0027499475555449334,0.00037498916320954695,-1.0999390032659273,-0.0034999303185262653,-0.0001249974480696471,0.005104514447584941,0.09999586368905995,1.988509756455776e-06,-0.01486407069445203,0.21998741257018842,0.029997399011982596,0.009759556246867107,-0.2799832762592484,-0.009999387521739053
0.015,0.20004593820029634,0.001499970217157395,1.4316919408055044e-08,1.1998662261906081,0.003299909372367099,0.00044998127327377233,-1.099912164390905,-0.004199879589524498,-0.00014999559019318172,0.006125926529720662,0.09999404462094102,2.863681131710278e-06,-0.017837477235008423,0.21998187289607785,0.029996254326448625,0.011711550705287763,-0.2799759175170189,-0.009999118007580337
0.0175,0.20006253006631516,0.0017499527110649976,2.273601624643924e-08,1.1998179154082618,0.0038498560798913705,0.0005249702612402849,-1.0998804454745772,-0.004899808790956369,-0.00017499299725653205,0.0071476164581735805,0.0999918955294204,3.898153554643793e-06,-0.020811207010205016,0.21997532505878256,0.029994901318598756,0.013663590552031424,-0.279967220588203,-0.009998799472153402
0.02,0.20008167655278733,0.00199992942008218,3.3940512303863874e-08,1.1997621698412284,0.0043997851571310614,0.0005999556061828363,-1.0998438463940161,-0.005599714577213242,-0.00019998954669514068,0.008169630628111735,0.09998941677296388,5.092016585768027e-06,-0.023785313981238638,0.21996776858310318,0.02999333988952301,0.015615683353126887,-0.2799571853560671,-0.009998431906108784
0.0225,0.20010337852926427,0.00224989952061189,4.8329023426927025e-08,1.1996989884781537,0.004949694081758478,0.0006749367868954083,-1.0998023670074184,-0.006299593602370368,-0.00022498511591883573,0.009192015475087963,0.09998660876504664,6.445373532491986e-06,-0.026759852150177107,0.21995920292084586,0.029991569925119258,0.017567836675089127,-0.27994581168589255,-0.009998015298651753
0.025,0.20012763698079566,0.0024998621901230933,6.630043297335883e-08,1.1996283701732315,0.005499580330021749,0.0007499132818759954,-1.0997560071540275,-0.006999442520144843,-0.0002499795823089692,0.010214817480893017,0.0999834719749939,7.958341629738996e-06,-0.02973487556611229,0.21994962745001742,0.02998959129592067,0.019520058085219255,-0.2799330994250114,-0.009997549637550411
0.0275,0.20015445300762752,0.002749816607257666,8.825391949523538e-08,1.199550313646493,0.006049441376594107,0.000824884569295535,-1.0997047666541209,-0.007699257983851773,-0.00027497282321503077,0.011238083179351639,0.09998000692823876,9.63105209493832e-06,-0.03271043833108371,0.2199390414745723,0.02998740385704163,0.021472355151732053,-0.27991904840281107,-0.009997034909136573
0.03,0.20018382782667563,0.0029997619520544436,1.1458900995287511e-07,1.1994648174823934,0.006599274694302399,0.0008998501269404502,-1.0996486453090695,-0.008399036646356843,-0.00029996471595040373,0.012261859162121204,0.0999762142058548,1.1463650026331395e-05,-0.035686594605783904,0.21992744422484528,0.029985007448270862,0.02342473544366268,-0.2799036584307001,-0.009996471098297197
0.0325,0.20021576277163172,0.003249697406086525,1.4570561402245301e-07,1.199371880129702,0.007149077753944913,0.0009748094321747535,-1.0995876429013343,-0.009098775160031438,-0.0003249551377887766,0.013286192084552603,0.09997209444474406,1.3456294442555049e-05,-0.03866339861551346,0.21991483485736196,0.02998240189403098,0.025377206530960837,-0.27988692930210607,-0.009995858188473537
0.035,0.20025025929308823,0.0034996221525991685,1.8200405852885624e-07,1.1992714999013712,0.007698848024108593,0.0010497619619020205,-1.0995217591944597,-0.009798470176707763,-0.00034994396596055007,0.014311128671565282,0.09996764833783639,1.5609158324597088e-05,-0.04164090465614943,0.2199012124546372,0.02997958700333556,0.027329775984584137,-0.27986886079247364,-0.009995196161660159
0.0375,0.2002873189586816,0.0037495353766483154,2.2388512201247903e-07,1.199163674974388,0.008248582970985619,0.0011247071925272246,-1.09945099393307,-0.010498118347633936,-0.00037493107764923806,0.01533671572353841,0.09996287663430065,1.7922428660185512e-05,-0.04461916710012909,0.2198865760249614,0.029976562569743615,0.029282451376590666,-0.2798494526592621,-0.009994484998403804
0.04,0.20032694345325402,0.003999436265239787,2.717500694372446e-07,1.199048403389608,0.008798280058189306,0.0011996445999184263,-1.0993753468428626,-0.011197716323429092,-0.0003999163499878646,0.01636300012222026,0.09995778013976779,2.039630649068271e-05,-0.04759824040245117,0.21987092450217446,0.029973328371311437,0.0312352402802309,-0.2798287046419423,-0.009993724677802122
