t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3
0.0,0.5,0.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0,0.0,-0.25,0.0,7.5,0.0,0.0,0.0,-0.2,0.08
0.0025,0.5000005637755017,0.0012499998696853714,6.073858855886604e-13,0.00045102039475815396,0.4999998436224402,7.288631220182121e-10,2.999999654320996,-0.0006249998735710982,2.2862367414654145e-12,-0.00027654319680119977,-0.24999984828531502,2.7434839997556857e-09,7.499999781903502,-0.0004999999961142694,0.00019999999710637728,-0.00017447719795695378,-0.1999999953371252,0.07999999652765288
0.005,0.5000022551019072,0.002499998957482853,4.859088864064672e-12,0.0009020407096709906,0.4999993744896549,2.9154542674286806e-09,2.999998617284081,-0.0012499989885686976,1.8289891231641133e-11,-0.0005530863156714441,-0.24999939314117145,1.0973933298941366e-08,7.499999127614012,-0.0009999999689141539,0.00039999997685101984,-0.00034895439399954686,-0.19999998134848349,0.07999998611061243
0.0075,0.500005073978917,0.0037499964815040313,1.639943492509855e-11,0.0013530608648930145,0.4999985926013267,6.5597787743041805e-09,2.9999968888895476,-0.0018749965864188565,6.172836771883241e-11,-0.0008296292786795544,-0.24999863456730353,2.4691339797316125e-08,7.499998037131535,-0.0014999998950851736,0.0005999999218721972,-0.0005234315862134606,-0.19999995803402312,0.07999996874888143
0.01,0.500009020406032,0.004999991659859431,3.8872767851955336e-11,0.0018040807805783966,0.49999749795692605,1.1661845539450428e-08,2.9999944691378824,-0.0024999919085467465,1.4631904345055278e-10,-0.0011061720078939308,-0.2499975725632683,4.3895689994488765e-08,7.499996510456085,-0.0019999997513126828,0.0007999998148081882,-0.0006979087726844662,-0.1999999253936578,0.07999994444246447
0.0125,0.5000140943825537,0.006249983710657987,7.59234581183572e-11,0.0022551003768807947,0.49999609055571226,1.8221667018432687e-08,2.9999913580297677,-0.0031249841963762117,2.857792551731681e-10,-0.0013827144253823298,-0.24999620712844553,6.858696498993366e-08,7.499994547587678,-0.0024999995142817744,0.0009999996382972856,-0.0008723859514984662,-0.19999988342726674,0.079999913191368
0.015,0.5000202959075838,0.007499971852006521,1.3119591178542637e-10,0.0027061195739531887,0.49999437039673245,2.623925922561307e-08,2.99998755556608,-0.0037499726913293226,4.938262856315856e-10,-0.0016592564532116518,-0.24999453826203785,9.876514048301267e-08,7.499992148526336,-0.0029999991606771987,0.0011999993749778008,-0.0010468631207415388,-0.1999998321346946,0.0799998749956003
0.0175,0.5000276249800243,0.00874995530200921,2.0833457939873529e-10,0.003157138291947706,0.49999233747882227,3.571464173419841e-08,2.9999830617478915,-0.004374956634825938,7.841773500690032e-10,-0.0019357980134477274,-0.2499925659630707,1.3443018677300317e-07,7.499989313272084,-0.003499998667183272,0.0013999990074880682,-0.0012213402784999818,-0.1999997715157516,0.0799998298551715
0.02,0.5000360815985777,0.009999933278767047,3.1098396488548835e-10,0.0036081564510154537,0.49998999180060566,4.6647837676298746e-08,2.9999778765764678,-0.004999935268283254,1.170549582726739e-09,-0.002212339028155102,-0.24999029023039232,1.7558206875913237e-07,7.499986041824954,-0.003999998010483794,0.001599998518466449,-0.0013958174228603567,-0.19999970157021335,0.07999977777009357
0.0225,0.500045665761747,0.011249905000377331,4.427886344518673e-10,0.004059173971306349,0.49998733336049467,5.903887374299667e-08,2.9999720000532704,-0.0056249078331153685,1.6666600233441607e-09,-0.002488879419396823,-0.24998771106267365,2.222207459406182e-07,7.499982334184983,-0.004499997167261961,0.0017999978905513382,-0.0015702945519095323,-0.19999962229782106,0.07999971874038032
0.025,0.5000563774678354,0.01249986968493312,6.073932254805553e-10,0.004510190772968947,0.49998436215668973,7.288778018442699e-08,2.9999654321799554,-0.006249873570732837,2.286225603658712e-09,-0.002765419109234226,-0.2499848284584085,2.743461724167161e-07,7.499978190352209,-0.004999996114200278,0.0019999971063811668,-0.0017447716637347293,-0.1999995336982813,0.0799996527660474
0.0275,0.5000682167149465,0.013749826550522704,8.084424554284829e-10,0.004961206776150272,0.4999810781871796,8.819459080986743e-08,2.9999581729583737,-0.006874831722542226,3.042963133906078e-09,-0.003041958019726718,-0.2499816424159134,3.3195829688677216e-07,7.49997361032668,-0.0054999948279804735,0.0021999961485944064,-0.0019192487564235628,-0.19999943577126622,0.07999957984711231
0.03,0.5000811835009842,0.014999774815229088,1.0495811307248063e-09,0.005412221900995645,0.499977481449741,1.0495934298783964e-07,2.999950222390571,-0.00749978152994567,3.950589289320483e-09,-0.003318496072931567,-0.24997815293332765,3.95057062650283e-07,7.499968594108444,-0.0059999932852834136,0.0023999949998295762,-0.002093725828064088,-0.19999932851641342,0.07999949998359436
0.0325,0.5000952778236529,0.016249713697129454,1.3344541556691565e-09,0.005863236067648519,0.49997357194193925,1.2318207764622117e-07,2.9999415804787883,-0.008124722234340433,5.0228205966351505e-09,-0.003595033190903684,-0.2499743600086133,4.636424076069612e-07,7.499963141697559,-0.0064999914627890155,0.0025999936427252446,-0.0022682028767448434,-0.19999921193332598,0.07999941317551475
0.035,0.5001104996804574,0.017499642414294622,1.6667065413301784e-09,0.0063142491962502965,0.49996934966112766,1.4286283927236762e-07,2.999932247225461,-0.00874965307711846,6.2733734205829255e-09,-0.003871569295695412,-0.24997026363955518,5.377142642568072e-07,7.499957253094082,-0.006999989337176159,0.0027999920599200362,-0.002442679900554893,-0.19999908602157251,0.07999931942289647
0.0375,0.5001268490687025,0.018749560184788544,2.0499834144443915e-09,0.0067652612069401775,0.4999648146044478,1.6400167591324612e-07,2.999922222633219,-0.009374573299665939,7.715963950397102e-09,-0.004148104309356309,-0.2499658638237608,6.172725597001877e-07,7.4999509282980785,-0.007499986885122604,0.0029999902340526337,-0.002617156897583873,-0.19999895078068705,0.07999921872576439
0.04,0.500144325985494,0.019999466226667754,2.487930026315398e-09,0.007216272019854975,0.4999599667688295,1.865986391755788e-07,2.9999115067048883,-0.009999482143362853,9.36430818631244e-09,-0.00442463815393294,-0.24996116055866036,7.023172156379206e-07,7.499944167309618,-0.007999984083304903,0.003199988147761787,-0.0027916338659220363,-0.19999880621016916,0.07999911108414519
0.0425,0.5001629304277372,0.021249359757980854,2.984191761713459e-09,0.007667281555128947,0.49995480615099064,2.1065378422599724e-07,2.999900099443489,-0.010624378849582537,1.1232121926066402e-08,-0.004701170751468653,-0.24995615384150682,7.928481483713647e-07,7.499936970128774,-0.008499980908398312,0.003399985783686313,-0.0029661108036602934,-0.19999865230948385,0.07999899649806741
0.045,0.5001826623921383,0.02249923999676795,3.542414147775472e-09,0.008118289732893632,0.49994933274743747,2.361671697912075e-07,2.999888000852235,-0.011249262659691242,1.3333120751400621e-08,-0.004977702024003372,-0.24995084366937584,8.888652688025163e-07,7.499929336755626,-0.008999977337076708,0.003599983124465101,-0.0031405877088902566,-0.1999984890780617,0.0799988749675614
0.0475,0.500203521875203,0.023749106161060275,4.166242863839821e-09,0.00856929647327769,0.49994354655446455,2.6313885815653285e-07,2.9998752109345386,-0.01187413281504778,1.5681020012791666e-08,-0.005254231893573393,-0.24994523003916594,9.903684824353348e-07,7.499921267190258,-0.009499973346012495,0.003799980152737124,-0.0033150645797042945,-0.19999831651529867,0.07999874649265941
0.05,0.5002255088732367,0.02499895746887953,4.859323749786548e-09,0.00902030169640672,0.4999374475681546,2.915689151671448e-07,2.9998617296940044,-0.012498988557003016,1.828953481700887e-08,-0.005530760282211155,-0.2499393129475984,1.0973576893750802e-06,7.499912761432759,-0.009999968911876515,0.003999976851141434,-0.003489541414195563,-0.19999813462055624,0.07999861107339545
0.0525,0.5002486233823471,0.0262487931382372,5.625302812811502e-09,0.00947130532240305,0.4999310357843781,3.214574102319429e-07,2.9998475571344327,-0.01312382912689921,2.1172380017650752e-08,-0.005807287111945003,-0.24993309239121672,1.2098327843256733e-06,7.49990381948322,-0.010499964011337992,0.00419997320231717,-0.0036640182104580453,-0.1999979433931614,0.07999846870980544
0.055,0.5002728653984416,0.02749861238713419,6.4678262381025906e-09,0.009922307271385612,0.49992431119879355,3.528044163206076e-07,2.9998326932598176,-0.013748653766069771,2.4343270198290008e-08,-0.006083812304799006,-0.24992656836638694,1.3277936565921695e-06,7.49989444134174,-0.010999958621064421,0.004399969188903564,-0.0038384949665866033,-0.19999774283240662,0.07999831940192709
0.0575,0.5002982349172286,0.028748414433560292,7.390540397768437e-09,0.010373307463469756,0.4999172738068476,3.856100099637752e-07,2.999817138074348,-0.014373461715838805,2.781591965892653e-08,-0.006360335782792732,-0.24991974086929772,1.4512401900809159e-06,7.499884627008424,-0.011499952717721484,0.004599964793539944,-0.004012971680677021,-0.1999975329375499,0.07999816314979996
0.06,0.5003247319342159,0.029998198495493643,8.397091859738526e-09,0.010824305818767086,0.499909923603775,4.198742712532743e-07,2.9998008915824084,-0.014998252217520675,3.1604042402496275e-08,-0.006636857467941034,-0.24991260989596037,1.5801722632996822e-06,7.499874376483375,-0.011999946277972967,0.004799959998865738,-0.00418744835082605,-0.19999731370781468,0.07999799995346545
0.0625,0.5003523564447122,0.031247963790900227,9.491127396663972e-09,0.011275302257385302,0.4999022605845985,4.5559728384237265e-07,2.9997839537885786,-0.015623024512419561,3.572135212137921e-08,-0.006913377282253846,-0.24990517544220872,1.7145897493577944e-06,7.499863689766709,-0.012499939278480667,0.004999954787520483,-0.004361924975131453,-0.19999708514238987,0.0799978298129668
0.065,0.5003811084438261,0.032497709537733316,1.0676293994819054e-08,0.011726296699427999,0.499894284744129,4.927791349460351e-07,2.9997663246976325,-0.016247777841829,4.018156218390915e-08,-0.007189895147735954,-0.24989743750369914,1.8544925159662766e-06,7.499852566858541,-0.012999931695904318,0.005199949142143822,-0.004536401551692043,-0.1999968472404299,0.07999765272834909
0.0675,0.5004109879264665,0.03374743495393295,1.195623886300352e-08,0.012177289064994531,0.4998859960769652,5.314199153411906e-07,2.9997480043145397,-0.016872511447031467,4.499838562088219e-08,-0.00746641098638679,-0.24988939607591054,1.9998804254380005e-06,7.499841007758993,-0.013499923506901487,0.005399943045375517,-0.004710878078607738,-0.19999660000105468,0.07999746869965922
0.07,0.5004419948873425,0.034997139257425404,1.333460944144539e-08,0.01262827927417981,0.4998773945774939,5.715197193670101e-07,2.999728992644465,-0.017497224569297906,5.0185535112066156e-08,-0.007742924720200214,-0.24988105115414436,2.1507533346878366e-06,7.499829012468193,-0.013999914688127498,0.005599936479855448,-0.004885354553979594,-0.19999634342334963,0.07999727772694595
0.0725,0.5004741293209632,0.036246821666122656,1.4815053410704767e-08,0.013079267247074151,0.49986848023989,6.130786449251954e-07,2.9997092896927673,-0.0181219164498873,5.575672297271035e-08,-0.008019436271164297,-0.24987240273352443,2.3071110952328197e-06,7.49981658098627,-0.014499905216235353,0.005799929428223617,-0.0050598309759098525,-0.19999607750636558,0.07999707981025984
0.075,0.5005073912216383,0.037496481397921874,1.6401218700578528e-08,0.013530252903763109,0.499859253058116,6.560967934802787e-07,2.999688895465001,-0.018746586330046233,6.172566114005534e-08,-0.008295945561261118,-0.2498634508089971,2.4689535531923124e-06,7.49980371331336,-0.014999895067875635,0.00599992187312016,-0.005234307342501988,-0.19999580224911898,0.07999687494965332
0.0775,0.5005417805834774,0.03874611767070485,1.8096753499005526e-08,0.013981236164327282,0.4998497130259227,7.005742700599301e-07,2.9996678099669163,-0.019371233451008427,6.810606115984328e-08,-0.00857245251246653,-0.24985419537533113,2.6362805492881836e-06,7.499790409449606,-0.01549988421969642,0.006199913797185341,-0.005408783651860749,-0.1999955176505916,0.07999666314518065
0.08,0.5005772974003904,0.039995729702337515,1.990530626097261e-08,0.014432216948842159,0.49983986013684834,7.465111832552777e-07,2.999646033204458,-0.019995857053994308,7.491163417282786e-08,-0.008848957046749956,-0.24984463642711757,2.80909191884498e-06,7.4997766693951515,-0.015999872648343197,0.006399905183059567,-0.005583259902092198,-0.19999522370973083,0.0799964443968979
0.0825,0.500613941666087,0.041245316710669354,2.183052571742223e-08,0.014883195177377944,0.49982969438421937,7.939076452212389e-07,2.9996235651837657,-0.02062045638021056,8.215609090128524e-08,-0.009125459086074176,-0.24983477395876996,2.9873874917901234e-06,7.499762493150147,-0.016499860330458783,0.006599896013383381,-0.005757736091303764,-0.19999492042544947,0.079996218704863
0.085,0.5006517133740775,0.04249487791353293,2.387606088415999e-08,0.015334170769999387,0.4998192157611499,8.427637716768593e-07,2.999600405911174,-0.021245030670849686,8.98531416355255e-08,-0.009401958552395104,-0.24982460796452405,3.171167092654099e-06,7.499747880714748,-0.016999847242683233,0.00679988627079748,-0.0059322122176042776,-0.1999946077966259,0.07999598606913567
0.08750000000000001,0.5006906125176723,0.04374441252874332,2.6045561070763785e-08,0.015785143646765604,0.4998084242605418,8.930796819056642e-07,2.9995765553932134,-0.021869579167089558,9.801649622040386e-08,-0.009678455367661577,-0.249814138438438,3.360430540570654e-06,7.499732832089114,-0.017499833361653755,0.006999875937942709,-0.006106688279104023,-0.19999428582210385,0.07999574648977753
0.09,0.5007306390899816,0.04499391977409759,2.8342675889493425e-08,0.016236113727729914,0.4997973198750847,9.448554987560199e-07,2.9995520136366096,-0.02249410111009296,1.0665986404183226e-07,-0.00995494945381514,-0.2498033653743921,3.555177649277006e-06,7.499717347273409,-0.017999818664004616,0.007199864997460068,-0.0062811642739147725,-0.19999395450069266,0.07999549996685197
0.0925,0.500771793083916,0.04624339886737427,3.0771055264202036e-08,0.016687080932939677,0.49978590259725597,9.980913486415059e-07,2.999526780648282,-0.02311859574100718,1.1579695401329239e-07,-0.01023144073278983,-0.24979228876608897,3.7554082271140563e-06,7.4997014262678015,-0.01849980312636707,0.007399853431990722,-0.006455640200149842,-0.19999361383116707,0.07999524650042425
0.095,0.500814074492186,0.04749284902633281,3.333434943924705e-08,0.017138045182436085,0.4997741724193207,1.0527873615412959e-06,2.999500856435347,-0.023743062300963527,1.2544147456234686e-07,-0.010507929126511956,-0.24978090860705335,3.9611220770266015e-06,7.499685069072467,-0.018999786725369262,0.007599841224175998,-0.006630116055924125,-0.1999932638122674,0.07999498609056144
0.0975,0.5008574833073024,0.04874226946871307,3.6036208988403923e-08,0.017589006396254034,0.49976212933333153,1.1089436710005514e-06,2.9994742410051147,-0.02436750003107689,1.3560713361715383e-07,-0.010784414556899893,-0.24976922489063222,4.1723189965635706e-06,7.499668275687583,-0.01949976943763615,0.007799828356657394,-0.006804591839354139,-0.19999290444269938,0.07999471873733244
0.1,0.5009020195215759,0.049991659412234775,3.888028482377969e-08,0.018039964494421933,0.4997497733311288,1.1665604141308255e-06,2.999446934365092,-0.024991908172445336,1.4630763859297894e-07,-0.011060896945863853,-0.2497572376099946,4.388998777878247e-06,7.499651046113332,-0.019999751239789414,0.007999814812076582,-0.006979067548558074,-0.19999253572113423,0.079994444440808
0.10250000000000001,0.5009476831271172,0.05124101807459698,4.187022820472795e-08,0.01849091939696152,0.4997371044043403,1.2256377316104756e-06,2.999418936522979,-0.0256162859661496,1.5755669637871086e-07,-0.011337376215305683,-0.24974494675813164,4.6111612077285055e-06,7.499633380349903,-0.020499732108447348,0.008199800573075414,-0.007153543181655829,-0.19999215764620873,0.07999416320106066
0.105,0.5009944741158373,0.052490344673477546,4.5009690746765294e-08,0.01894187102388771,0.4997241225443815,1.2861757676850878e-06,2.999390247486674,-0.026240632653252688,1.6936801332337416e-07,-0.011613852287118635,-0.24973235232785648,4.838806067477071e-06,7.4996152783974885,-0.02099971202022482,0.008399785622295928,-0.0073280187367690645,-0.19999177021652506,0.07999387501816484
0.1075,0.501042392479447,0.05373963842653261,4.830232443048806e-08,0.019392819295208412,0.4997108277424553,1.348174670167912e-06,2.999360867264267,-0.026864947474799422,1.8175529522264617e-07,-0.011890325083187166,-0.24971945431180437,5.071933133091751e-06,7.499596740256286,-0.02149969095173315,0.008599769942380344,-0.007502494212021237,-0.19999137343065093,0.07999357989219674
0.11,0.5010914382094573,0.054988898551396055,5.1751781610491227e-08,0.01984376413092437,0.49969721998955197,1.411634590440307e-06,2.999330795864046,-0.02748922967181598,1.9473224730536961e-07,-0.012166794525386708,-0.2497062527024324,5.3105421751457e-06,7.499577765926497,-0.021999668879580034,0.008799753515971082,-0.007676969605537648,-0.19999096728711957,0.07999327782323441
0.1125,0.5011416112971789,0.05623812426567897,5.536171502428819e-08,0.02029470545102896,0.4996832992764493,1.476555683452195e-06,2.9993000332944932,-0.02811347848530946,2.08312574220071e-07,-0.012443260535583457,-0.2496927474920197,5.554632958817687e-06,7.499558355408327,-0.022499645780369462,0.008999736325710753,-0.007851444915445493,-0.19999055178442965,0.07999296881135773
0.115,0.5011929117337227,0.05748731478696912,5.9135777801230494e-08,0.020745643175508054,0.49966906559371244,1.5429381077225313e-06,2.9992685795642866,-0.02873769315626744,2.2250998002147597e-07,-0.012719723035634154,-0.24967893867266716,5.804205243892355e-06,7.49953850870199,-0.02299962163070162,0.009199718354242175,-0.008025920139873893,-0.19999012692104534,0.07999265285664839
0.11750000000000001,0.5012453395099996,0.058736469332830415,6.307762347143166e-08,0.021196577224339833,0.4996545189316939,1.6107820253397771e-06,2.9992364346822997,-0.029361872925657534,2.373381681570271e-07,-0.012996181947385874,-0.24966482623629763,6.059258784760511e-06,7.499518225807701,-0.02349959640717282,0.009399699584208368,-0.008200395276953945,-0.1999896926953963,0.0799923299591899
0.12,0.5012988946167202,0.05998558712080238,6.719090597468866e-08,0.021647507517494592,0.49963965928053333,1.6800876019623896e-06,2.9992035986576,-0.029986017034426916,2.528108414534005e-07,-0.01327263719267581,-0.24965041017465567,6.31979333041939e-06,7.49949750672568,-0.023999570086375398,0.009599679998252567,-0.008374870324818772,-0.1999892491058777,0.07999200011906762
0.1225,0.5013535770443951,0.06123466736839964,7.14792796694083e-08,0.02209843397493462,0.49962448663015774,1.7508550068193209e-06,2.9991700714994525,-0.03061012472350193,2.6894170210302547e-07,-0.013549088693331046,-0.24963569047930764,6.585808624472966e-06,7.499476351456153,-0.024499542644897634,0.009799659579018224,-0.00854934528160356,-0.19998879615085016,0.07999166333636872
0.125,0.5014093867833351,0.062483709293111325,7.594639934153143e-08,0.022549356516613953,0.4996090009702814,1.8230844127105204e-06,2.999135853217316,-0.03123419523378758,2.8574445165060094e-07,-0.013825536371168345,-0.24962066714164158,6.857304405132216e-06,7.499454759999349,-0.02499951405932367,0.009999638309149003,-0.008723820145445593,-0.19998833382863984,0.07999131961118217
0.1275,0.5014663238236504,0.06373271211240066,8.05959202134616e-08,0.023000275062478277,0.4995932022904055,1.896775996007465e-06,2.9991009438208454,-0.03185822780616714,3.0323279097961775e-07,-0.014101980147993944,-0.24960534015286717,7.1342804052154585e-06,7.499432732355504,-0.025499484306233427,0.010199616171288804,-0.00889829491448432,-0.19998786213753833,0.07999096894359878
0.13,0.5015243881552515,0.06498167504370428,8.543149795299297e-08,0.02345118953246471,0.4995770905798185,1.9719299366536785e-06,2.9990653433198915,-0.03248222168150168,3.2142042029887766e-07,-0.014378419945603314,-0.24958970950401577,7.416736352148624e-06,7.499410268524857,-0.0259994533622025,0.010399593148081743,-0.009072769586861373,-0.19998738107580277,0.0799906113337112
