dt,drift_maxabs,drift_rms,drift_final,lyapunov
0.001,4.432372075604133e-08,1.0422750772687846e-08,-2.0358772380909496e-08,0.28881712254221714
0.0025,4.386638488753742e-08,1.0419878902303262e-08,-2.0358772380909496e-08,0.28881712254221714
0.005,4.386638488753742e-08,1.04411371524039e-08,-2.0358772380909496e-08,0.28881712254221714
0.01,3.0782127990044304e-08,1.0417996159620993e-08,-2.0358772380909496e-08,0.28881712254221714
