t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0
0.005,-1.2600016571338288e-10,1.9999739660427797e-08,9.999915190563836e-09,0.9999843750603891,0.00599997125015662,0.002399988750066341,-0.999984374934389,-0.0011999912498962932,1.2500184622539683e-09
0.01,-2.0160106178201705e-09,1.5999166989475858e-07,7.999728651219488e-08,0.9999375009659566,0.011999770005011241,0.004799910002122661,-0.9999374989499461,-0.002399929996681153,1.000059082476086e-08
0.015,-1.0206138381398048e-08,5.399367325162419e-07,2.699793925469551e-07,0.9998593798896497,0.017999223788052885,0.007199696266118678,-0.9998593696835114,-0.0035997637247854146,3.375448877364971e-08
0.02,-3.2256738197250235e-08,1.2797334110138661e-06,6.399131688187642e-07,0.9997500154523749,0.023998160160337283,0.009599280067916688,-0.9997499831956368,-0.004799439893748312,8.001891449245188e-08
0.025,-7.87526834490544e-08,2.499186512699812e-06,1.2497350452376085e-06,0.999609412721864,0.029996406739240113,0.011998593957235862,-0.9996093339691807,-0.0059989059257528395,1.5630771889737572e-07
0.03,-1.6330386472517106e-07,4.317975893540351e-06,2.1593407757206184e-06,0.99943757821098,0.035993791217195675,0.01439757051559189,-0.9994374149071155,-0.007198109193089263,2.7014363238384087e-07
0.035,-3.0254572948330396e-07,6.855625257634503e-06,3.4285752955594796e-06,0.99923451987578,0.04199014138038633,0.01679614236421545,-0.9992342173300507,-0.00839699700564403,4.290604889868678e-07
0.04,-5.161399472673883e-07,1.0231470964220357e-05,5.117222592291281e-06,0.9990002471131095,0.04798528512738162,0.01919424217195071,-0.9989997309731624,-0.009595516598345944,6.406054569900851e-07
0.045,-8.267752100762896e-07,1.4564630842464236e-05,7.284995592407586e-06,0.9987347707577295,0.0539790504877182,0.021591802663130287,-0.9987339439825196,-0.010793615118560789,9.123412772950777e-07
0.05,-1.260168175193245e-06,1.997397301609045e-05,9.991526066685437e-06,0.9984381030789855,0.05997126564041065,0.023988756625422738,-0.9984368429108104,-0.01199123961342689,1.2518485105654748e-06
0.055,-1.8450645577849717e-06,2.6578084739909766e-05,1.3296354556924206e-05,0.9981102577770247,0.06596175893238426,0.026385036917648902,-0.9981084127124671,-0.013188337017124359,1.666727794160145e-06
0.06,-2.61324038057941e-06,3.449524125030449e-05,1.7258920326871925e-05,0.9977512499785703,0.07195035889682003,0.028780576477563245,-0.9977486367381899,-0.014384854138070533,2.1646021098699087e-06
0.065,-3.5995033879310274e-06,4.3843374631728377e-05,2.19385513401252e-05,0.9973610962322594,0.07793689427140234,0.031175308329596384,-0.9973574967288716,-0.015580737646034275,2.7531190634721435e-06
0.07,-4.841694631582607e-06,5.4740042701278895e-05,2.739445426778613e-05,0.9969398145035532,0.08392119401646025,0.03356916559255508,-0.9969349728089217,-0.016775934059161748,3.439953177117675e-06
0.075,-6.380690235432493e-06,6.730239791340032e-05,3.36857045286604e-05,0.9964874241692263,0.08990308733299261,0.035962081487275754,-0.996481043478991,-0.01797038973090623,4.2328081955643346e-06
0.08,-8.260403346616209e-06,8.164715628677553e-05,4.087123636478011e-05,0.9960039460114445,0.09588240368056769,0.03835398934422793,-0.995995685608098,-0.019164050836854678,5.13941940727159e-06
0.085,-1.0527786280211387e-05,9.789056635546405e-05,4.9009832955035205e-05,0.9954894022114357,0.10185897279508785,0.040744822611063575,-0.9954788744251556,-0.020356863361443503,6.1675559813706094e-06
0.09,-1.323283286487496e-05,0.00011614837814634497,5.816011656969744e-05,0.9949438163427651,0.10783262470640985,0.04313451486010877,-0.9949305835099004,-0.021548773084556376,7.325023321524172e-06
0.095,-1.642858099672158e-05,0.00013653581218492253,6.838053876862052e-05,0.9943672133642201,0.11380318975581138,0.04552299979579368,-0.9943507847832235,-0.022739725567996465,8.619665437690808e-06
0.1,-2.0171115408752122e-05,0.0001591675285315519,7.972937064590022e-05,0.9937596196123131,0.11977049861329418,0.04791021126201729,-0.9937394484969043,-0.023929666141825855,1.0059367336807537e-05
0.105,-2.4519570663141264e-05,0.0001841575958501436,9.226469312377846e-05,0.99312106279341,0.12573438229471448,0.05029608324944281,-0.993096543222747,-0.025118539890564753,1.165205743340561e-05
0.11,-2.953613437369322e-05,0.00021161946051140518,0.00010604438729857516,0.992451571975493,0.13169467217873151,0.05268054990272025,-0.9924220358411195,-0.02630629163924302,1.3405709981173685e-05
0.115,-3.5286050783908255e-05,0.0002416659156456183,0.00012112612482071899,0.9917511775793411,0.13765120002357503,0.05506354552763835,-0.9917158915285572,-0.027492865939220717,1.53283475409419e-05
0.12,-4.1837625251599084e-05,0.0002744090698287666,0.00013756735823755234,0.9910199113681136,0.14360379798365278,0.05744500459822071,-0.9909780737428621,-0.028678207053481636,1.7428043541737395e-05
