t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3
0.0,-1.0,0.0,0.0,0.0,0.27999999999999997,0.01,1.0,0.0,0.0,0.0,-0.27999999999999997,0.01,0.0,0.0,0.0,0.0,0.0,-0.02
0.005,-0.9999843749263655,0.0013999927082486872,4.999937499411309e-05,0.006250058915863848,0.2799956249153483,0.009999624994112725,0.9999843749263655,-0.0013999927082486872,4.999937499411309e-05,-0.006250058915863848,-0.2799956249153483,0.009999624994112725,0.0,0.0,-9.999874998822619e-05,0.0,0.0,-0.01999924998822545
0.01,-0.9999374988215726,0.0027999416639576035,9.999499981159046e-05,0.012500471396713144,0.27998249864542163,0.009998499905791892,0.9999374988215726,-0.0027999416639576035,9.999499981159046e-05,-0.012500471396713144,-0.27998249864542163,0.009998499905791892,0.0,0.0,-0.00019998999962318091,0.0,0.0,-0.019996999811583784
0.015,-0.9998593690336774,0.0041998031044262136,0.00014998312356914454,0.018751591117499977,0.27996061814167333,0.009996624523023316,0.9998593690336774,-0.0041998031044262136,0.00014998312356914454,-0.018751591117499977,-0.27996061814167333,0.009996624523023316,0.0,0.0,-0.0002999662471382891,0.0,0.0,-0.019993249046046633
0.02,-0.9997499811412975,0.005599533246533212,0.00019995999396463482,0.02500377197313228,0.2799299783216093,0.009993998492374775,0.9997499811412975,-0.005599533246533212,0.00019995999396463482,-0.02500377197313228,-0.2799299783216093,0.009993998492374775,0.0,0.0,-0.00039991998792926963,0.0,0.0,-0.01998799698474955
0.025,-0.9996093289534541,0.006999088276746516,0.0002499218565802142,0.03125736818883698,0.2798905720643326,0.009990621318691715,0.9996093289534541,-0.006999088276746516,0.0002499218565802142,-0.03125736818883698,-0.2798905720643326,0.009990621318691715,0.0,0.0,-0.0004998437131604284,0.0,0.0,-0.01998124263738343
0.03,-0.9994374045077451,0.00839842434096099,0.0002998649541749255,0.0375127344305784,0.27984239020629015,0.009986492364849522,0.9994374045077451,-0.00839842434096099,0.0002998649541749255,-0.0375127344305784,-0.27984239020629015,0.009986492364849522,0.0,0.0,-0.000599729908349851,0.0,0.0,-0.019972984729699043
0.035,-0.9992341980664033,0.009797497534038524,0.000349785525961007,0.043770225915720384,0.27978542153696556,0.009981610851548887,0.9992341980664033,-0.009797497534038524,0.000349785525961007,-0.043770225915720384,-0.27978542153696556,0.009981610851548887,0.0,0.0,-0.000699571051922014,0.0,0.0,-0.019963221703097774
0.04,-0.9989996981135542,0.011196263889592162,0.00039967980689412027,0.05003019852430926,0.2797196527914651,0.009975975856868399,0.9989996981135542,-0.011196263889592162,0.00039967980689412027,-0.05003019852430926,-0.2797196527914651,0.009975975856868399,0.0,0.0,-0.0007993596137882405,0.0,0.0,-0.019951951713736798
0.045,-0.9987338913518619,0.012594679369725628,0.00044954402696090493,0.056293008910817524,0.2796450686419318,0.009969586315750768,0.9987338913518619,-0.012594679369725628,0.00044954402696090493,-0.056293008910817524,-0.2796450686419318,0.009969586315750768,0.0,0.0,-0.0008990880539218099,0.0,0.0,-0.019939172631501537
0.05,-0.9984367626985556,0.013992699854720307,0.0004993744104634069,0.06255901461644206,0.2795616516877674,0.009962441019421779,0.9984367626985556,-0.013992699854720307,0.0004993744104634069,-0.06255901461644206,-0.2795616516877674,0.009962441019421779,0.0,0.0,-0.0009987488209268138,0.0,0.0,-0.019924882038843558
0.055,-0.9981082952808357,0.01539028113266361,0.0005491671753000344,0.06882857418205245,0.2794693824446296,0.009954538614739886,0.9981082952808357,-0.01539028113266361,0.0005491671753000344,-0.06882857418205245,-0.2794693824446296,0.009954538614739886,0.0,0.0,-0.0010983343506000688,0.0,0.0,-0.019909077229479773
0.06,-0.9977484704306628,0.016787378889012675,0.0005989185322426969,0.07510204726188448,0.2793682393321716,0.009945877603474441,0.9977484704306628,-0.016787378889012675,0.0005989185322426969,-0.07510204726188448,-0.2793682393321716,0.009945877603474441,0.0,0.0,-0.0011978370644853938,0.0,0.0,-0.019891755206948882
0.065,-0.9973572676789317,0.018183948696087377,0.0006486246842097815,0.08137979473807463,0.27925819866049256,0.009936456341510481,0.9973572676789317,-0.018183948696087377,0.0006486246842097815,-0.08137979473807463,-0.27925819866049256,0.009936456341510481,0.0,0.0,-0.001297249368419563,0.0,0.0,-0.019872912683020962
0.07,-0.9969346647490313,0.019579946002486567,0.0006982818255346205,0.08766217883613053,0.27913923461526524,0.009926273037978037,0.9969346647490313,-0.019579946002486567,0.0006982818255346205,-0.08766217883613053,-0.27913923461526524,0.009926273037978037,0.0,0.0,-0.001396563651069241,0.0,0.0,-0.019852546075956077
