t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0
0.005,-3.339881350124858e-11,6.2499665325728975e-09,3.1250033057407597e-09,0.9999843749803219,0.0039999799478170565,0.0009999951822699518,-0.999984374946923,-0.002499986197783596,-0.0002499983072732593
0.01,-5.343990689563866e-10,4.999892916932572e-08,2.5000105884826286e-08,0.9999374996849085,0.00799983958014534,0.0019999614576383436,-0.9999374991505094,-0.004999889579074519,-0.0004999864577442327
0.015,-2.7055560588566632e-09,1.6874186580266534e-07,8.437580385435679e-08,0.9998593734046156,0.011999458569539207,0.002999869916597026,-0.9998593706990595,-0.007499627311405012,-0.0007499542924008829
0.02,-8.551607247862827e-09,3.999657078097118e-07,2.0000338573550845e-07,0.9997499949575069,0.01599871656463471,0.003999691644423809,-0.9997499864058996,-0.00999911653034252,-0.0009998916478095475
0.025,-2.0879988330692457e-08,7.811453414963911e-07,3.906353322535975e-07,0.9996093626887497,0.019997493178192223,0.004999397718575536,-0.9996093418087613,-0.012498274323533724,-0.001249788353907792
0.03,-4.330199015055356e-08,1.349739524568247e-06,6.750257050017662e-07,0.9994374744706088,0.023995667975113818,0.0059989592060768065,-0.9994374311686187,-0.014997017714638395,-0.0014996342317818109
0.035,-8.023396171016109e-08,2.143186818245219e-06,1.0719305375102528e-06,0.999234327702341,0.02799312046045558,0.0069983471609074855,-0.9992342474683792,-0.017495263647273843,-0.0017494190914449969
0.04,-1.368987514571988e-07,3.198901501114312e-06,1.6001082243461279e-06,0.9989999193100556,0.03198973006742647,0.007997532621387561,-0.998999782411304,-0.019992928968927605,-0.001999132729611908
0.045,-2.193274427780038e-07,4.554269449267543e-06,2.2783199062597887e-06,0.9987342457465636,0.035985376145368266,0.008996486607558437,-0.9987340264191207,-0.022489930414817557,-0.0022487649274646956
