t,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3
0.0,0.5,0.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0,0.0,-0.25,0.0,7.5,0.0,0.0,0.0,-0.2,0.08
0.01,0.500009020406032,0.004999991659859431,3.8872767851955336e-11,0.0018040807805783966,0.49999749795692605,1.1661845539450428e-08,2.9999944691378824,-0.0024999919085467465,1.4631904345055278e-10,-0.0011061720078939308,-0.2499975725632683,4.3895689994488765e-08,7.499996510456085,-0.0019999997513126828,0.0007999998148081882,-0.0006979087726844662,-0.1999999253936578,0.07999994444246447
0.02,0.5000360815985777,0.009999933278767047,3.1098396488548835e-10,0.0036081564510154537,0.49998999180060566,4.6647837676298746e-08,2.9999778765764678,-0.004999935268283254,1.170549582726739e-09,-0.002212339028155102,-0.24999029023039232,1.7558206875913237e-07,7.499986041824954,-0.003999998010483794,0.001599998518466449,-0.0013958174228603567,-0.19999970157021335,0.07999977777009357
0.03,0.5000811835009842,0.014999774815229088,1.0495811307248063e-09,0.005412221900995645,0.499977481449741,1.0495934298783964e-07,2.999950222390571,-0.00749978152994567,3.950589289320483e-09,-0.003318496072931567,-0.24997815293332765,3.95057062650283e-07,7.499968594108444,-0.0059999932852834136,0.0023999949998295762,-0.002093725828064088,-0.19999932851641342,0.07999949998359436
0.04,0.500144325985494,0.019999466226667754,2.487930026315398e-09,0.007216272019854975,0.4999599667688295,1.865986391755788e-07,2.9999115067048883,-0.009999482143362853,9.36430818631244e-09,-0.00442463815393294,-0.24996116055866036,7.023172156379206e-07,7.499944167309618,-0.007999984083304903,0.003199988147761787,-0.0027916338659220363,-0.19999880621016916,0.07999911108414519
0.05,0.5002255088732367,0.02499895746887953,4.859323749786548e-09,0.00902030169640672,0.4999374475681546,2.915689151671448e-07,2.9998617296940044,-0.012498988557003016,1.828953481700887e-08,-0.005530760282211155,-0.2499393129475984,1.0973576893750802e-06,7.499912761432759,-0.009999968911876515,0.003999976851141434,-0.003489541414195563,-0.19999813462055624,0.07999861107339545
0.06,0.5003247319342159,0.029998198495493643,8.397091859738526e-09,0.010824305818767086,0.499909923603775,4.198742712532743e-07,2.9998008915824084,-0.014998252217520675,3.1604042402496275e-08,-0.006636857467941034,-0.24991260989596037,1.5801722632996822e-06,7.499874376483375,-0.011999946277972967,0.004799959998865738,-0.00418744835082605,-0.19999731370781468,0.07999799995346545
0.07,0.5004419948873425,0.034997139257425404,1.333460944144539e-08,0.01262827927417981,0.4998773945774939,5.715197193670101e-07,2.999728992644465,-0.017497224569297906,5.0185535112066156e-08,-0.007742924720200214,-0.24988105115414436,2.1507533346878366e-06,7.499829012468193,-0.013999914688127498,0.005599936479855448,-0.004885354553979594,-0.19999634342334963,0.07999727772694595
0.08,0.5005772974003904,0.039995729702337515,1.990530626097261e-08,0.014432216948842159,0.49983986013684834,7.465111832552777e-07,2.999646033204458,-0.019995857053994308,7.491163417282786e-08,-0.008848957046749956,-0.24984463642711757,2.80909191884498e-06,7.4997766693951515,-0.015999872648343197,0.006399905183059567,-0.005583259902092198,-0.19999522370973083,0.0799964443968979
0.09,0.5007306390899816,0.04499391977409759,2.8342675889493425e-08,0.016236113727729914,0.4997973198750847,9.448554987560199e-07,2.9995520136366096,-0.02249410111009296,1.0665986404183226e-07,-0.00995494945381514,-0.2498033653743921,3.555177649277006e-06,7.499717347273409,-0.017999818664004616,0.007199864997460068,-0.0062811642739147725,-0.19999395450069266,0.07999549996685197
0.1,0.5009020195215759,0.049991659412234775,3.888028482377969e-08,0.018039964494421933,0.4997497733311288,1.1665604141308255e-06,2.999446934365092,-0.024991908172445336,1.4630763859297894e-07,-0.011060896945863853,-0.2497572376099946,4.388998777878247e-06,7.499651046113332,-0.019999751239789414,0.007999814812076582,-0.006979067548558074,-0.19999253572113423,0.079994444440808
0.11,0.5010914382094573,0.054988898551396055,5.1751781610491227e-08,0.01984376413092437,0.49969721998955197,1.411634590440307e-06,2.999330795864046,-0.02748922967181598,1.9473224730536961e-07,-0.012166794525386708,-0.2497062527024324,5.3105421751457e-06,7.499577765926497,-0.021999668879580034,0.008799753515971082,-0.007676969605537648,-0.19999096728711957,0.07999327782323441
0.12,0.5012988946167202,0.05998558712080238,6.719090597468866e-08,0.021647507517494592,0.49963965928053333,1.6800876019623896e-06,2.9992035986576,-0.029986017034426916,2.528108414534005e-07,-0.01327263719267581,-0.24965041017465567,6.31979333041939e-06,7.49949750672568,-0.023999570086375398,0.009599679998252567,-0.008374870324818772,-0.1999892491058777,0.07999200011906762
0.13,0.5015243881552515,0.06498167504370428,8.543149795299297e-08,0.02345118953246471,0.4995770905798185,1.9719299366536785e-06,2.9990653433198915,-0.03248222168150168,3.2142042029887766e-07,-0.014378419945603314,-0.24958970950401577,7.416736352148624e-06,7.499410268524857,-0.0259994533622025,0.010399593148081743,-0.009072769586861373,-0.19998738107580277,0.0799906113337112
0.14,0.501767918185712,0.06997711223683721,1.0670750703181543e-07,0.025254805052064566,0.4995095132086741,2.2871729966540612e-06,2.998916030475091,-0.03497779502880896,4.0143781728543326e-07,-0.015484137779399592,-0.24952415012221982,8.601353968183997e-06,7.499316051339197,-0.02799931720802813,0.011199491854675678,-0.009770667272664953,-0.1999853630864543,0.07998911147303517
0.15,0.5020294840175152,0.07497184860987648,1.3125300129108363e-07,0.027058348950244393,0.49943692643383863,2.6258290988347224e-06,2.9987556607974293,-0.03747268848620583,4.937396862355431e-07,-0.01658978568643087,-0.24945373141528152,9.873627526094976e-06,7.4992148551850555,-0.029999160123670494,0.011999375007312466,-0.010468563263813496,-0.19998319501855719,0.07998750054337507
0.16,0.5023090849088043,0.07996583406489163,1.5930217655388616e-07,0.028861816098496834,0.49935932946746975,2.9879114753897245e-06,2.9985842350112275,-0.039966853457180526,5.992024875504243e-07,-0.017695358655976424,-0.24937845272346781,1.1233536993512918e-05,7.499106680079968,-0.03199898060771092,0.012799241495335886,-0.011166457442520372,-0.199980876744002,0.0799857785515311
0.17,0.5026067200664266,0.0849590184958003,1.9108936554246015e-07,0.030665201365678428,0.49927672146708707,3.3734342744713194e-06,2.998401753890928,-0.04246024133839463,7.187024744130845e-07,-0.018800851674005154,-0.24929831334124208,1.2681060958499229e-05,7.498991526042645,-0.03399877715740545,0.013599090208160032,-0.011864349691673229,-0.19997840812584505,0.07998394550476703
0.18,0.5029223886459063,0.08995135178782157,2.268490470409449e-07,0.03246849961783049,0.4991891015355117,3.782412560869159e-06,2.9982082182611274,-0.04495280351922476,8.531156789948406e-07,-0.01990625972295158,-0.24921331251720313,1.4216176629938646e-05,7.498869393092966,-0.03599854826859655,0.014398920035273953,-0.012562239894878854,-0.1999757890183086,0.07998200141080919
0.19,0.5032560897514162,0.09494278381692874,2.6681585506533176e-07,0.03427170571799934,0.49909646872080154,4.21486231673358e-06,2.998003628996616,-0.04744449138130366,1.0033178986655628e-06,-0.02101157778149122,-0.24912344945402057,1.583885983795738e-05,7.498740281251967,-0.037998292435624775,0.015198729866246253,-0.013260127936508055,-0.19997301926678104,0.07997994627784531
0.2,0.5036078224357451,0.09993326444930134,3.1122458804102024e-07,0.036074814526055834,0.49899882201618295,4.67080044234309e-06,2.9977879870224147,-0.049935256298060615,1.170184682207943e-06,-0.02211680082431526,-0.24902872330836592,1.7549085034365933e-05,7.49860419054184,-0.0399980081512404,0.015998518590729732,-0.0139580137017405,-0.19997009870781704,0.07997778011452329
